,학교명주소,총인원남학생여학생,"과학고외고/국제고자사고기타계(외국,영재,유학,대안)",특목고계특목고비율
3,신흥중학교경상북도 포항시남구 오천읍 세계리,207 명107 명100 명,1 명2 명0 명0 명,3 명1.45 %
4,흥해중학교경상북도 포항시 북구 흥해읍 옥성리,203 명117 명86 명,0 명2 명1 명1 명,2 명0.99 %
5,대흥중학교경상북도 포항시북구 용흥동,227 명125 명102 명,2 명0 명4 명2 명,2 명0.88 %
6,대도중학교경상북도 포항시 북구 환호동,354 명354 명0 명,3 명0 명7 명0 명,3 명0.85 %
7,상도중학교경상북도 포항시남구 대도동,133 명80 명53 명,0 명1 명3 명1 명,1 명0.75 %
8,포항항도중학교경상북도 포항시 북구 죽도동,134 명45 명89 명,0 명1 명0 명1 명,1 명0.75 %
9,포항영신중학교경상북도 포항시북구 우현동,139 명139 명0 명,0 명1 명3 명0 명,1 명0.72 %
10,포항중학교경상북도 포항시 북구 학산동,159 명159 명0 명,1 명0 명4 명3 명,1 명0.63 %
11,대동중학교경상북도 포항시북구 우현동,160 명160 명0 명,1 명0 명2 명0 명,1 명0.62 %
12,양학중학교경상북도 포항시 북구 득량동,188 명115 명73 명,1 명0 명3 명0 명,1 명0.53 %
13,오천중학교경상북도 포항시남구 오천읍 용덕리,226 명116 명110 명,0 명1 명2 명1 명,1 명0.44 %
14,유강중학교경상북도 포항시남구 연일읍 유강리,230 명125 명105 명,0 명1 명6 명1 명,1 명0.43 %
15,영일중학교경상북도 포항시남구 연일읍 동문리,256 명130 명126 명,1 명0 명0 명0 명,1 명0.39 %
16,포항여자중학교경상북도 포항시 북구 우현동,259 명0 명259 명,1 명0 명0 명0 명,1 명0.39 %
17,장흥중학교경상북도 포항시 북구 장성동,268 명145 명123 명,1 명0 명8 명2 명,1 명0.37 %
18,송라중학교경상북도 포항시 북구 송라면 광천리,10 명7 명3 명,0 명0 명0 명0 명,0 명0.00 %
19,기계중학교경상북도 포항시 북구 기계면 현내리,28 명13 명15 명,0 명0 명0 명0 명,0 명0.00 %
0,석전중학교경상북도 칠곡군 왜관읍 석전리,125 명67 명58 명,0 명2 명0 명0 명,2 명1.60 %
1,북삼중학교경상북도 칠곡군 북삼읍 인평리,194 명107 명87 명,1 명2 명1 명1 명,3 명1.55 %
2,인평중학교경상북도 칠곡군 북삼읍 인평리,164 명93 명71 명,0 명2 명1 명0 명,2 명1.22 %
3,약목중학교경상북도 칠곡군 약목면 복성리,88 명45 명43 명,0 명1 명0 명0 명,1 명1.14 %
4,순심여자중학교경상북도 칠곡군 왜관읍 왜관리,93 명0 명93 명,0 명1 명0 명0 명,1 명1.08 %
5,장곡중학교경상북도 칠곡군 석적읍 중리,340 명169 명171 명,2 명0 명3 명0 명,2 명0.59 %
6,순심중학교경상북도 칠곡군 왜관읍 왜관리,93 명93 명0 명,0 명0 명0 명0 명,0 명0.00 %
7,동명중학교경상북도 칠곡군 동명면 송산리,18 명10 명8 명,0 명0 명0 명0 명,0 명0.00 %
8,신동중학교경상북도 칠곡군 지천면 신리,17 명4 명13 명,0 명0 명0 명0 명,0 명0.00 %
9,왜관중학교경상북도 칠곡군 왜관읍 왜관리,126 명73 명53 명,0 명0 명1 명0 명,0 명0.00 %
0,청송중학교부동분교장경상북도 청송군 부동면 이전리,3 명3 명0 명,0 명1 명0 명0 명,1 명33.33 %
1,안덕중학교경상북도 청송군 안덕면 명당리,11 명7 명4 명,0 명0 명0 명0 명,0 명0.00 %
2,청송여자중학교경상북도 청송군 청송읍 월막리,35 명0 명35 명,0 명0 명0 명0 명,0 명0.00 %
3,현서중학교경상북도 청송군 현서면 덕계리,16 명10 명6 명,0 명0 명0 명0 명,0 명0.00 %
4,구천중학교경상북도 청송군 부남면 하속리,2 명1 명1 명,0 명0 명0 명0 명,0 명0.00 %
5,진성중학교경상북도 청송군 진보면 이촌리,46 명46 명0 명,0 명0 명0 명0 명,0 명0.00 %
6,청송중학교경상북도 청송군 청송읍 금곡리,25 명25 명0 명,0 명0 명0 명0 명,0 명0.00 %
7,현동중학교경상북도 청송군 현동면 도평리,8 명4 명4 명,0 명0 명0 명0 명,0 명0.00 %
8,진보중학교경상북도 청송군 진보면 진안리,20 명0 명20 명,0 명0 명0 명0 명,0 명0.00 %
0,이서중학교경상북도 청도군 이서면 서원리,62 명31 명31 명,0 명1 명0 명0 명,1 명1.61 %
1,매전중학교경상북도 청도군 매전면,5 명1 명4 명,0 명0 명0 명0 명,0 명0.00 %
2,풍각중학교경상북도 청도군 풍각면 송서리,20 명9 명11 명,0 명0 명0 명0 명,0 명0.00 %
3,금천중학교경상북도 청도군 금천면 동곡리,23 명14 명9 명,0 명0 명0 명0 명,0 명0.00 %
4,모계중학교경상북도 청도군 화양읍 범곡리,79 명40 명39 명,0 명0 명0 명1 명,0 명0.00 %
5,청도중학교경상북도 청도군 청도읍 고수리,81 명42 명39 명,0 명0 명0 명2 명,0 명0.00 %
0,의성여자중학교경상북도 의성군 의성읍 상리리,69 명0 명69 명,0 명1 명0 명1 명,1 명1.45 %
1,의성중학교경상북도 의성군 의성읍 도동리,85 명85 명0 명,0 명1 명0 명0 명,1 명1.18 %
2,다인중학교경상북도 의성군 다인면 도암리,10 명5 명5 명,0 명0 명0 명0 명,0 명0.00 %
3,삼성중학교경상북도 의성군 단북면 노연리,8 명8 명0 명,0 명0 명0 명0 명,0 명0.00 %
4,옥산중학교경상북도 의성군 옥산면 구성리,5 명0 명5 명,0 명0 명0 명0 명,0 명0.00 %
5,경북중부중학교경상북도 의성군 비안면 이두리,6 명0 명6 명,0 명0 명0 명0 명,0 명0.00 %
6,금성중학교경상북도 의성군 금성면 탑리리,4 명4 명0 명,0 명0 명0 명0 명,0 명0.00 %
7,봉양중학교경상북도 의성군 봉양면 화전리,12 명6 명6 명,0 명0 명0 명0 명,0 명0.00 %
8,안계중학교경상북도 의성군 안계면 용기리,42 명14 명28 명,0 명0 명0 명0 명,0 명0.00 %
9,탑리여자중학교경상북도 의성군 금성면 탑리리,8 명0 명8 명,0 명0 명0 명0 명,0 명0.00 %
0,후포중학교경상북도 울진군 후포면 후포리,76 명38 명38 명,1 명0 명0 명0 명,1 명1.32 %
1,매화중학교경상북도 울진군 매화면 매화리,8 명5 명3 명,0 명0 명0 명0 명,0 명0.00 %
2,죽변중학교경상북도 울진군 죽변면 죽변리,55 명33 명22 명,0 명0 명0 명0 명,0 명0.00 %
3,기성중학교경상북도 울진군 기성면 기성리,6 명3 명3 명,0 명0 명0 명0 명,0 명0.00 %
4,부구중학교경상북도 울진군 북면 부구리,56 명28 명28 명,0 명0 명0 명1 명,0 명0.00 %
5,울진중학교경상북도 울진군 울진읍 읍내리,218 명123 명95 명,0 명0 명3 명0 명,0 명0.00 %
6,평해중학교경상북도 울진군 평해읍 평해리,9 명9 명0 명,0 명0 명0 명0 명,0 명0.00 %
7,온정중학교경상북도 울진군 온정면,0 명0 명0 명,0 명0 명0 명0 명,
0,울릉중학교경상북도 울릉군 울릉읍 도동리,33 명22 명11 명,1 명0 명0 명0 명,1 명3.03 %
1,울릉북중학교경상북도 울릉군 북면,3 명2 명1 명,0 명0 명0 명0 명,0 명0.00 %
2,우산중학교경상북도 울릉군 울릉읍 저동리,17 명9 명8 명,0 명0 명0 명0 명,0 명0.00 %
3,울릉서중학교경상북도 울릉군 서면 남서리,4 명2 명2 명,0 명0 명0 명0 명,0 명0.00 %
0,대창중학교경상북도 예천군 예천읍 노상리,53 명53 명0 명,1 명0 명0 명0 명,1 명1.89 %
1,예천여자중학교경상북도 예천군 예천읍 남본리,112 명0 명112 명,0 명1 명1 명2 명,1 명0.89 %
2,예천중학교경상북도 예천군 예천읍 남본리,59 명59 명0 명,0 명0 명0 명0 명,0 명0.00 %
3,용문중학교경상북도 예천군 용문면 상금곡리,8 명5 명3 명,0 명0 명0 명0 명,0 명0.00 %
4,지보중학교경상북도 예천군 지보면 마전리,14 명6 명8 명,0 명0 명0 명0 명,0 명0.00 %
5,감천중학교경상북도 예천군 감천면 포리,7 명5 명2 명,0 명0 명0 명0 명,0 명0.00 %
6,용궁중학교경상북도 예천군 용궁면 읍부리,8 명6 명2 명,0 명0 명0 명0 명,0 명0.00 %
7,은풍중학교경상북도 예천군 하리면 우곡리,15 명10 명5 명,0 명0 명0 명0 명,0 명0.00 %
8,풍양중학교경상북도 예천군 풍양면 낙상리,25 명13 명12 명,0 명0 명0 명0 명,0 명0.00 %
0,성남여자중학교경상북도 영천시 도동,115 명0 명115 명,0 명1 명0 명0 명,1 명0.87 %
1,영천중학교경상북도 영천시 문내동,157 명157 명0 명,0 명1 명0 명0 명,1 명0.64 %
2,영동중학교경상북도 영천시 야사동,188 명188 명0 명,0 명1 명0 명0 명,1 명0.53 %
3,금호중학교경상북도 영천시 금호읍 교대리,29 명29 명0 명,0 명0 명0 명0 명,0 명0.00 %
4,영천여자중학교경상북도 영천시 교촌동,144 명0 명144 명,0 명0 명0 명0 명,0 명0.00 %
5,청통중학교경상북도 영천시 청통면 원촌리,7 명2 명5 명,0 명0 명0 명0 명,0 명0.00 %
6,별빛중학교경상북도 영천시 고경면 해선리,29 명12 명17 명,0 명0 명0 명0 명,0 명0.00 %
7,금호여자중학교경상북도 영천시 금호읍 대미리,17 명0 명17 명,0 명0 명0 명0 명,0 명0.00 %
8,산동중학교경상북도 영천시 화남면 삼창리,6 명3 명3 명,0 명0 명0 명0 명,0 명0.00 %
9,신녕중학교경상북도 영천시 신녕면 매양리,21 명8 명13 명,0 명0 명0 명0 명,0 명0.00 %
10,영안중학교경상북도 영천시 북안면 임포리,17 명5 명12 명,0 명0 명0 명0 명,0 명0.00 %
11,화산중학교경상북도 영천시 화산면 유성리,7 명5 명2 명,0 명0 명0 명0 명,0 명0.00 %
0,동산여자중학교경상북도 영주시 하망동,134 명0 명134 명,1 명0 명0 명2 명,1 명0.75 %
1,영주중학교경상북도 영주시 휴천동,170 명170 명0 명,1 명0 명0 명0 명,1 명0.59 %
2,단산중학교경상북도 영주시 단산면 옥대리,4 명0 명4 명,0 명0 명0 명0 명,0 명0.00 %
3,소수중학교경북 영주시 순흥면 읍내리,15 명8 명7 명,0 명0 명0 명0 명,0 명0.00 %
4,영광중학교경상북도 영주시 영주동,167 명167 명0 명,0 명0 명0 명0 명,0 명0.00 %
5,금계중학교경상북도 영주시 풍기읍 금계리,52 명29 명23 명,0 명0 명0 명0 명,0 명0.00 %
6,대영중학교경상북도 영주시 휴천동,168 명168 명0 명,0 명0 명0 명0 명,0 명0.00 %
7,부석중학교경상북도 영주시 부석면 소천리,15 명14 명1 명,0 명0 명0 명0 명,0 명0.00 %
8,영광여자중학교경상북도 영주시 영주동,167 명0 명167 명,0 명0 명0 명0 명,0 명0.00 %
9,영주여자중학교경상북도 영주시 가흥동,169 명0 명169 명,0 명0 명0 명0 명,0 명0.00 %
10,풍기중학교경상북도 영주시 풍기읍 동부리,50 명30 명20 명,0 명0 명0 명0 명,0 명0.00 %
0,수비중학교경상북도 영양군 수비면 발리리,4 명1 명3 명,0 명0 명0 명0 명,0 명0.00 %
1,영양중학교경상북도 영양군 영양읍 서부리,40 명40 명0 명,0 명0 명1 명0 명,0 명0.00 %
2,석보중학교경상북도 영양군 석보면 원리리,6 명2 명4 명,0 명0 명0 명0 명,0 명0.00 %
3,영양여자중학교경상북도 영양군 영양읍 동부리,44 명0 명44 명,0 명0 명0 명0 명,0 명0.00 %
0,영해중학교경상북도 영덕군 영해면 괴시리,65 명36 명29 명,4 명0 명0 명0 명,4 명6.15 %
1,남정중학교경상북도 영덕군 남정면 장사리,4 명3 명1 명,0 명0 명0 명0 명,0 명0.00 %
2,영덕여자중학교경상북도 영덕군 영덕읍 덕곡리,53 명0 명53 명,0 명0 명0 명0 명,0 명0.00 %
3,축산중학교경상북도 영덕군 축산면 도곡리,9 명5 명4 명,0 명0 명0 명0 명,0 명0.00 %
4,강구중학교경상북도 영덕군 강구면 삼사리,30 명14 명16 명,0 명0 명0 명1 명,0 명0.00 %
5,병곡중학교경상북도 영덕군 병곡면 병곡리,7 명2 명5 명,0 명0 명0 명0 명,0 명0.00 %
6,영덕중학교경상북도 영덕군 영덕읍 화개리,70 명70 명0 명,0 명0 명0 명1 명,0 명0.00 %
7,지품중학교경상북도 영덕군 지품면 신안리,7 명3 명4 명,0 명0 명0 명0 명,0 명0.00 %
0,길주중학교경상북도 안동시 용상동,324 명167 명157 명,3 명2 명0 명0 명,5 명1.54 %
1,경안중학교경상북도 안동시 송현동,198 명198 명0 명,3 명0 명0 명0 명,3 명1.52 %
2,경덕중학교경상북도 안동시 태화동,191 명191 명0 명,0 명2 명0 명0 명,2 명1.05 %
3,복주여자중학교경상북도 안동시 당북동,197 명0 명197 명,0 명1 명0 명0 명,1 명0.51 %
4,안동중학교경상북도 안동시 태화동,224 명223 명1 명,1 명0 명0 명1 명,1 명0.45 %
5,경안여자중학교경상북도 안동시 금곡동,189 명0 명189 명,0 명0 명1 명1 명,0 명0.00 %
6,길안중학교경상북도 안동시 길안면 천지리,9 명5 명4 명,0 명0 명0 명0 명,0 명0.00 %
7,안동여자중학교경상북도 안동시 법상동,225 명0 명225 명,0 명0 명0 명6 명,0 명0.00 %
8,일직중학교경상북도 안동시 일직면 귀미리,19 명12 명7 명,0 명0 명0 명0 명,0 명0.00 %
9,풍천중학교경상북도 안동시 풍천면 갈전리,24 명17 명7 명,0 명0 명0 명0 명,0 명0.00 %
10,북후중학교경상북도 안동시 북후면 장기리,8 명3 명5 명,0 명0 명0 명0 명,0 명0.00 %
11,풍산중학교경상북도 안동시 풍산읍 안교리,41 명20 명21 명,0 명0 명0 명0 명,0 명0.00 %
0,성주중학교경상북도 성주군 성주읍 예산리,95 명95 명0 명,2 명1 명1 명0 명,3 명3.16 %
1,명인중학교경상북도 성주군 선남면 도성리,11 명9 명2 명,0 명0 명0 명0 명,0 명0.00 %
2,성주여자중학교경상북도 성주군 성주읍 경산리,88 명0 명88 명,0 명0 명0 명0 명,0 명0.00 %
3,수륜중학교경상북도 성주군 수륜면 신파리,9 명8 명1 명,0 명0 명0 명0 명,0 명0.00 %
4,초전중학교경상북도 성주군 초전면 대장리,33 명15 명18 명,0 명0 명1 명0 명,0 명0.00 %
5,성주중학교가천분교장경상북도 성주군 가천면 창천리,7 명0 명7 명,0 명0 명0 명0 명,0 명0.00 %
6,벽진중학교경상북도 성주군 벽진면 수촌리,7 명3 명4 명,0 명0 명0 명0 명,0 명0.00 %
7,용암중학교경상북도 성주군 용암면 본리리,14 명9 명5 명,0 명0 명0 명0 명,0 명0.00 %
0,내서중학교경상북도 상주시 내서면 낙서리,16 명9 명7 명,1 명1 명0 명0 명,2 명12.50 %
1,낙운중학교경상북도 상주시 낙동면 상촌리,9 명5 명4 명,1 명0 명0 명0 명,1 명11.11 %
2,화동중학교경상북도 상주시 화동면 이소리,13 명5 명8 명,1 명0 명0 명0 명,1 명7.69 %
3,상주여자중학교경상북도 상주시 남성동,146 명0 명146 명,1 명2 명1 명0 명,3 명2.05 %
4,상주중학교경북 상주시 만산동,181 명181 명0 명,0 명1 명89 명0 명,1 명0.55 %
5,화북중학교경상북도 상주시 화북면 용유리,8 명3 명5 명,0 명0 명0 명0 명,0 명0.00 %
6,상지여자중학교경상북도 상주시 함창읍 오동리,25 명0 명25 명,0 명0 명0 명0 명,0 명0.00 %
7,용운중학교경상북도 상주시 공성면 산현리,20 명10 명10 명,0 명0 명0 명0 명,0 명0.00 %
8,중모중학교경상북도 상주시 모동면 덕곡리,15 명8 명7 명,0 명0 명0 명0 명,0 명0.00 %
9,함창중학교경상북도 상주시 함창읍 증촌리,37 명37 명0 명,0 명0 명0 명0 명,0 명0.00 %
10,화령중학교경상북도 상주시 화서면 달천리,17 명5 명12 명,0 명0 명0 명1 명,0 명0.00 %
11,낙동중학교경상북도 상주시 낙동면 낙동리,4 명1 명3 명,0 명0 명0 명0 명,0 명0.00 %
12,남산중학교경북 상주시 낙양동,149 명149 명0 명,0 명0 명1 명0 명,0 명0.00 %
13,모서중학교경상북도 상주시 모서면 삼포리,13 명6 명7 명,0 명0 명0 명0 명,0 명0.00 %
14,성신여자중학교경상북도 상주시 계산동,172 명0 명172 명,0 명0 명0 명1 명,0 명0.00 %
15,은척중학교경상북도 상주시 은척면 우기리,9 명4 명5 명,0 명0 명0 명0 명,0 명0.00 %
16,청리중학교경상북도 상주시 청리면 청하리,4 명4 명0 명,0 명0 명0 명0 명,0 명0.00 %
0,봉화중학교경상북도 봉화군 봉화읍 삼계리,125 명67 명58 명,0 명1 명0 명0 명,1 명0.80 %
1,소천중학교경상북도 봉화군 소천면 현동리,8 명6 명2 명,0 명0 명0 명0 명,0 명0.00 %
2,춘양중학교서벽분교장경상북도 봉화군 춘양면 서벽리,6 명3 명3 명,0 명0 명0 명1 명,0 명0.00 %
3,물야중학교경상북도 봉화군 물야면 오록리,8 명7 명1 명,0 명0 명0 명0 명,0 명0.00 %
4,석포중학교경상북도 봉화군 석포면 석포리,11 명7 명4 명,0 명0 명0 명0 명,0 명0.00 %
5,춘양중학교경상북도 봉화군 춘양면 서동리,30 명16 명14 명,0 명0 명0 명0 명,0 명0.00 %
6,청량중학교경상북도 봉화군 명호면 도천리,0 명0 명0 명,0 명0 명0 명0 명,
0,산북중학교경상북도 문경시 산북면 대상리,16 명9 명7 명,0 명1 명0 명0 명,1 명6.25 %
1,마성중학교경상북도 문경시 마성면 외어리,20 명11 명9 명,0 명1 명0 명0 명,1 명5.00 %
2,문경서중학교경상북도 문경시 문경읍 상리,50 명30 명20 명,0 명1 명0 명0 명,1 명2.00 %
3,문경여자중학교경상북도 문경시 모전동,249 명0 명249 명,1 명2 명0 명5 명,3 명1.20 %
4,동로중학교경상북도 문경시 동로면 적성리,6 명4 명2 명,0 명0 명0 명0 명,0 명0.00 %
5,문경중학교경상북도 문경시 흥덕동,158 명158 명0 명,0 명0 명0 명0 명,0 명0.00 %
